title,product_type,size,size_factor,pathway,tailored,natural_dye,dye_type,gsm,metres_per_unit,fabric_kg_per_unit,E_transport,E_electricity,E_water,E_tailoring,E_total_kg_co2e,avoided_kg_co2e
Men's Relaxed Fit Spread Collar 'Penguin' Longsleeve Shirt,Shirt,XL,1.2,A,Yes,No,Undyed,160,1.56,0.2371,1.1815,0.1956,0,0.1992,1.5763,0
Men's *New* Relaxed Fit Mandarin Collar Shortsleeve Shirt,Shirt,S,0.88,A,Yes,No,Undyed,160,1.144,0.1739,0.8665,0.1435,0,0.1461,1.1561,0
Men's *New* Relaxed Fit Mandarin Collar Shortsleeve Shirt,Shirt,M,1.0,A,Yes,No,Undyed,160,1.3,0.1976,0.9846,0.163,0,0.166,1.3136,0
Men's *New* Relaxed Fit Mandarin Collar Shortsleeve Shirt,Shirt,L,1.1,A,Yes,No,Undyed,160,1.43,0.2174,1.0833,0.1793,0,0.1826,1.4452,0
Men's *New* Relaxed Fit Mandarin Collar Shortsleeve Shirt,Shirt,XL,1.2,A,Yes,No,Undyed,160,1.56,0.2371,1.1815,0.1956,0,0.1992,1.5763,0
Khunloei's Shawls - Jae Yor,Scarf,F,1.0,A,No,No,Undyed,100,0.9,0.0855,0.4260,0.0705,0,0,0.4965,0
Closed-loop Tie-up Shortsleeve Blouse (Pre-order)',Shirt,S,0.88,B,Yes,No,SC GRAND natural,130,1.144,0.1413,0.7041,0.1166,0,0.1187,0.9394,0.1539
Closed-loop Tie-up Shortsleeve Blouse (Pre-order)',Shirt,M,1.0,B,Yes,No,SC GRAND natural,130,1.3,0.1605,0.7998,0.1324,0,0.1348,1.0670,0.1748
Closed-loop Tie-up Shortsleeve Blouse (Pre-order)',Shirt,L,1.1,B,Yes,No,SC GRAND natural,130,1.43,0.1766,0.8800,0.1457,0,0.1483,1.1740,0.1923
Closed-loop Tie-up Shortsleeve Blouse (Pre-order)',Shirt,XL,1.2,B,Yes,No,SC GRAND natural,130,1.56,0.1927,0.9602,0.159,0,0.1619,1.2811,0.2099
Asymmetrical Wrap Skirt (Pre-order)',Skirt,S,0.88,A,Yes,No,Undyed,160,1.232,0.1873,0.9333,0.1545,0,0.1573,1.2451,0
Asymmetrical Wrap Skirt (Pre-order)',Skirt,M,1.0,A,Yes,No,Undyed,160,1.4,0.2128,1.0604,0.1755,0,0.1788,1.4147,0
Asymmetrical Wrap Skirt (Pre-order)',Skirt,L,1.1,A,Yes,No,Undyed,160,1.54,0.2341,1.1665,0.1931,0,0.1966,1.5562,0
Asymmetrical Wrap Skirt (Pre-order)',Skirt,XL,1.2,A,Yes,No,Undyed,160,1.68,0.2554,1.2727,0.2107,0,0.2145,1.6979,0
Penguin Loose-fit Longsleeve Shirt (Pre-order)',Tank Top,S,0.88,A,Yes,No,Undyed,100,0.528,0.0502,0.2501,0.0414,0,0.0422,0.3337,0
Penguin Loose-fit Longsleeve Shirt (Pre-order)',Tank Top,M,1.0,A,Yes,No,Undyed,100,0.6,0.057,0.2840,0.047,0,0.0479,0.3789,0
Penguin Loose-fit Longsleeve Shirt (Pre-order)',Tank Top,L,1.1,A,Yes,No,Undyed,100,0.66,0.0627,0.3124,0.0517,0,0.0527,0.4168,0
Penguin Loose-fit Longsleeve Shirt (Pre-order)',Tank Top,XL,1.2,A,Yes,No,Undyed,100,0.72,0.0684,0.3408,0.0564,0,0.0575,0.4547,0
Penguin Loose-fit Shortsleeve Shirt (Pre-order),Tank Top,S,0.88,A,Yes,No,Undyed,100,0.528,0.0502,0.2501,0.0414,0,0.0422,0.3337,0
Penguin Loose-fit Shortsleeve Shirt (Pre-order),Tank Top,M,1.0,A,Yes,No,Undyed,100,0.6,0.057,0.2840,0.047,0,0.0479,0.3789,0
Penguin Loose-fit Shortsleeve Shirt (Pre-order),Tank Top,L,1.1,A,Yes,No,Undyed,100,0.66,0.0627,0.3124,0.0517,0,0.0527,0.4168,0
Penguin Loose-fit Shortsleeve Shirt (Pre-order),Tank Top,XL,1.2,A,Yes,No,Undyed,100,0.72,0.0684,0.3408,0.0564,0,0.0575,0.4547,0
Side Button Overshirt,Blouse,M,1.0,A,Yes,No,Undyed,160,1.3,0.1976,0.9846,0.163,0,0.166,1.3136,0
Side Button Overshirt,Blouse,L,1.1,A,Yes,No,Undyed,160,1.43,0.2174,1.0833,0.1793,0,0.1826,1.4452,0
Side Button Overshirt,Blouse,XL,1.2,A,Yes,No,Undyed,160,1.56,0.2371,1.1815,0.1956,0,0.1992,1.5763,0
Single Strap Dress in White/Red Stripe,Dress,S,0.88,A,Yes,Yes,Huchang-Red,160,1.584,0.2408,1.1999,0.1986,0.00099,0.2023,1.6018,0
